Internal ID,going out,gender,age,country,area,dress,day,"Click Coordinates (x, y)",Media
90273037,No,Male,48,Canada,British Columbia,White and gold,Friday,"(70, 31)",Science
90273043,No,Male,37,United Kingdom,Unknown,White and gold,Friday,"(80, 28)",Science
90273045,No,Male,28,United States,Maryland,Blue and black,Friday,"(27, 69)",ESPN
90273046,No,Female,45,Canada,Ontario,White and gold,Friday,"(62, 28)",Science
90273047,No,Male,42,United States,MI,Blue and black,Friday,"(72, 30)",Science
90273048,No,Male,69,United States,Wisconsin,White and gold,Sunday,"(79, 26)",Science
90273049,No,Male,50,United States,Maryland,White and gold,Sunday,"(82, 28)",Science
90273051,No,Male,42,United States,Ny,White and gold,Sunday,"(76, 29)",Science
90273053,No,Female,35,United States,Colorado,White and gold,Friday,"(75, 11)",Science
90273055,No,Female,44,United States,California,White and gold,Sunday,"(78, 26)",Science
90273057,Yes,Male,44,United States,Louisiana,Blue and black,Friday,"(31, 76)",ESPN
90273058,No,Male,42,United States,Colorado,Unknown,Friday,Unknown,Unknown
90273059,No,Male,43,Canada,Ontario,Blue and black,Friday,"(72, 5)",Science
90273060,No,Female,37,United States,DC,Blue and black,Friday,"(72, 4)",Science
90273061,No,Male,47,United States,pa,Blue and black,Sunday,"(68, 31)",Science
90273062,Yes,Female,50,United States,Texas,Blue and black,Friday,"(76, 21)",Science
90273064,No,Male,67,United States,"CO, Larimer County",White and gold,Friday,"(60, 5)",Science
90273069,No,Female,33,United States,Nebraska ,Blue and black,Sunday,"(71, 29)",Science
90273077,No,Female,39,United States,Oregon,White and gold,Sunday,"(27, 24)",Daily Dish
90273079,No,Male,30,Canada,Ontario,Blue and black,Sunday,"(66, 8)",Science
90273081,Yes,Male,25,United States,UT,White and gold,Friday,"(87, 36)",Science
90273082,No,Male,29,United States,New York,White and gold,Sunday,"(66, 44)",Science
90273086,No,Male,53,United States,Minnesota,Unknown,Friday,Unknown,Unknown
90273089,No,Female,22,United States,Pennsylvania,Unknown,Friday,Unknown,Unknown
90273090,No,Female,50,United States,Wisconsin,White and gold,Friday,"(80, 28)",Science
90273094,No,Male,46,Canada,Ontario,Unknown,Friday,Unknown,Unknown
90273100,Yes,Male,53,United States,California,White and gold,Friday,"(76, 5)",Science
90273108,No,Female,62,United States,Carolina,Blue and black,Friday,"(21, 30)",Daily Dish
90273109,No,Male,48,United States,New York,White and gold,Friday,"(74, 25)",Science
90273110,No,Male,49,United States,Tennessee ,Blue and black,Friday,"(75, 22)",Science
90273116,Yes,Female,37,United States,Michigan,Blue and black,Sunday,"(73, 31)",Science
90273119,No,Male,54,United States,California,White and gold,Sunday,"(74, 26)",Science
90273122,No,Female,51,United States,Minnesota,White and gold,Sunday,"(61, 3)",Science
90273125,No,Male,70,United States,"Knox county, Tennessee",Blue and black,Friday,"(81, 27)",Science
90273127,No,Male,33,United States,Minnesota,White and gold,Friday,"(73, 24)",Science
90273130,No,Male,67,United States,New Mexico,Blue and black,Friday,"(72, 28)",Science
90273137,No,Female,65,United States,Maine,Blue and black,Friday,"(74, 7)",Science
90273138,No,Male,46,United States,maine,White and gold,Sunday,Unknown,Unknown
90273140,No,Male,48,United States,California,Blue and black,Sunday,"(74, 24)",Science
90273157,No,Male,44,United States,Virginia,White and gold,Friday,"(85, 39)",Science
90273158,No,Female,37,United States,Washington,White and gold,Friday,"(75, 36)",Science
90273159,No,Female,43,United States,Minnesota,White and gold,Friday,"(78, 25)",Science
90273171,Yes,Male,47,United States,Virginia,Blue and black,Sunday,"(67, 16)",Science
90273178,No,Male,38,United States,Illinois,Blue and black,Friday,"(74, 20)",Science
90273180,No,Male,37,United States,Oregon,Blue and black,Sunday,"(79, 26)",Science
90273185,No,I'd rather not say,33,United States,Washington,White and gold,Sunday,"(87, 24)",Science
90273186,No,Female,43,United States,Illinois,White and gold,Friday,"(63, 29)",Science
90273190,No,Male,34,United States,California,White and gold,Friday,"(84, 62)",Yahoo
90273204,No,Male,51,United States,Il,White and gold,Friday,"(71, 22)",Science
90273220,No,Female,54,United States,Oregon,White and gold,Friday,"(65, 5)",Science
90273224,Yes,Male,38,United States,New Hampshire ,White and gold,Friday,"(66, 26)",Science
90273226,No,Male,38,United States,Washington,Blue and black,Friday,Unknown,Unknown
90273232,No,Male,53,United States,Georgia,White and gold,Friday,"(68, 5)",Science
90273236,No,Male,45,United States,Illinois,White and gold,Friday,"(29, 79)",ESPN
90273237,No,Female,37,United States,California,Blue and black,Friday,Unknown,Unknown
90273238,No,Female,35,United States,Washington,White and gold,Sunday,"(67, 32)",Science
90273240,No,Male,28,United States,Michigan,Blue and black,Sunday,"(66, 37)",Science
90273242,No,Male,41,Canada,British Columbia,Blue and black,Friday,"(11, 37)",Daily Dish
90273245,No,Female,33,United States,Oregon,Blue and black,Friday,"(76, 27)",Science
90273247,No,Female,24,United States,Washington,Blue and black,Friday,"(79, 33)",Science
90273248,No,I'd rather not say,50,United States,NE,White and gold,Sunday,"(74, 31)",Science
90273250,No,Female,61,United States,Ohio,White and gold,Friday,Unknown,Unknown
90273254,No,Male,38,United States,Oklahoma,White and gold,Sunday,"(71, 27)",Science
90273258,No,Male,36,United States,Illinois,White and gold,Friday,"(78, 29)",Science
90273260,No,Male,39,United States,Michigan,Blue and black,Friday,"(78, 23)",Science
90273263,No,Female,33,United States,Pennsylvania,Blue and black,Friday,"(28, 55)",ESPN
90273269,No,Male,37,United States,Maryland,White and gold,Friday,"(81, 15)",Science
90273270,No,Female,27,United States,Nevada,White and gold,Friday,"(79, 12)",Science
90273278,Yes,I'd rather not say,18,United States,Virginia,White and gold,Friday,"(74, 42)",Science
90273280,No,Male,49,United States,California,White and gold,Sunday,"(80, 38)",Science
90273286,Yes,Female,34,United States,Washington,Blue and black,Sunday,"(87, 36)",Science
90273288,Yes,Female,38,United States,Ri,Blue and black,Friday,"(74, 5)",Science
90273291,No,Male,37,United States,Washington,Blue and black,Friday,"(76, 21)",Science
90273297,No,Female,36,United States,Illinois,White and gold,Sunday,"(64, 12)",Science
90273298,No,Male,49,United States,California,White and gold,Friday,"(82, 34)",Science
90273299,No,Female,47,United States,Washington,White and gold,Friday,"(75, 6)",Science
90273300,No,Male,25,France,Unknown,White and gold,Sunday,"(73, 27)",Science
90273301,No,Male,41,United States,Massachusetts,White and gold,Sunday,"(22, 66)",ESPN
90273304,No,Female,40,United States,Illinois,White and gold,Sunday,"(79, 50)",Yahoo
90273305,No,Female,37,United States,Massachusetts,Blue and black,Friday,"(72, 27)",Science
90273306,Yes,Male,19,United States,Illinois,White and gold,Sunday,"(69, 8)",Science
90273313,No,Male,47,United States,Texas,Blue and black,Sunday,"(71, 22)",Science
90273318,No,Male,46,United States,California,Blue and black,Friday,"(39, 21)",Daily Dish
90273320,No,Male,31,United States,Texas,Blue and black,Sunday,"(85, 12)",Science
90273321,Yes,Male,48,United States,Michigan,White and gold,Sunday,"(69, 23)",Science
90273325,No,Male,57,United States,California,White and gold,Sunday,"(61, 27)",Science
90273326,No,Male,53,United States,Washington,White and gold,Friday,"(83, 35)",Science
90273329,No,Female,66,United States,Ohio,White and gold,Sunday,"(29, 21)",Daily Dish
90273331,Yes,Male,45,United States,Pennsylvania,White and gold,Friday,"(34, 86)",ESPN
90273332,No,Male,27,United States,Illinois,Blue and black,Friday,"(80, 31)",Science
90273333,No,Male,56,United States,md,Unknown,Friday,Unknown,Unknown
90273336,No,Male,70,United States,Wisconsin,Blue and black,Sunday,"(70, 19)",Science
90273345,Yes,Female,12,United States,Massachusetts,White and gold,Sunday,"(74, 32)",Science
90273348,No,Male,39,United States,"VT, Chittenden",White and gold,Friday,"(63, 14)",Science
90273353,No,Male,32,United States,Michigan,White and gold,Friday,"(78, 44)",Science
90273359,No,Male,52,United States,California,White and gold,Friday,"(32, 19)",Daily Dish
90273369,No,Female,29,United States,California,White and gold,Friday,"(70, 23)",Science
90273370,No,Male,38,United States,Washington,Blue and black,Friday,"(84, 26)",Science
90273371,No,Male,32,United States,Oregon,White and gold,Friday,"(68, 11)",Science
90273375,No,Female,42,United States,Carolina,White and gold,Friday,"(79, 29)",Science
90273377,No,Male,54,United States,Pennsylvania,White and gold,Friday,"(36, 67)",ESPN
90273383,Yes,Male,38,Canada,Ontario,White and gold,Sunday,"(73, 27)",Science
90273384,Yes,Male,53,United States,Pennsylvania,White and gold,Friday,"(20, 77)",ESPN
90273391,No,Female,34,United States,Alabama,White and gold,Sunday,"(28, 75)",ESPN
